Tópicos,Words
0,"['pacote', 'produto', 'compra', 'data', 'dia', 'problema', 'livro', 'prazo', 'nome', 'reembolso']"
1,"['compr', 'suporte', 'mercadoria', 'problema', 'ponto', 'poder', 'contato', 'resposta', 'mês', 'coisa']"
2,"['nota', 'novembro', 'produto', 'rastreamento', 'venda', 'telefone', 'atendimento', 'tempo', 'momento', 'compra']"
3,"['compra', 'empresa', 'produto', 'endereço', 'problema', 'contato', 'reclamação', 'correio', 'valor', 'mensagem']"
4,"['informação', 'compra', 'produto', 'prazo', 'valor', 'loja', 'promoção', 'dia', 'desconto', 'atualização']"
5,"['conta', 'acesso', 'compra', 'cadastro', 'sistema', 'problema', 'tipo', 'hora', 'cartão', 'email']"
6,"['dinheiro', 'cancelamento', 'dia', 'pagamento', 'compra', 'devolução', 'contato', 'produto', 'mensagem', 'troca']"
7,"['valor', 'compra', 'problema', 'cartão', 'fatura', 'compra_cartão', 'mês', 'resposta', 'empresa', 'crédito']"
8,"['prazo', 'contato', 'site', 'compra', 'dezembro', 'produto', 'retorno', 'consigo', 'problema', 'magalu']"
9,"['compra', 'número', 'contato', 'site', 'valor', 'encomenda', 'comprar', 'produto', 'vendedor', 'resposta']"
10,"['dia', 'cartão', 'empresa', 'compra', 'produto', 'anuncio', 'atendimento', 'compr', 'valor', 'forma']"
11,"['loja', 'atraso', 'site', 'previsão', 'prazo', 'roupa', 'produto', 'compr', 'solução', 'número']"
