Tópicos,Words
0,"['devolução', 'conta', 'informação', 'tento', 'problema', 'forma', 'chat', 'foto', 'computador', 'senha']"
1,"['pacote', 'resposta', 'previsão', 'problema', 'cashback', 'poder', 'momento', 'reclamação', 'aniversário', 'garantia']"
2,"['acesso', 'telefone', 'noite', 'unidade', 'confirmação', 'informação', 'conta', 'processo', 'peço', 'endereço']"
3,"['problema', 'vendedor', 'semana', 'dia', 'fatura', 'mensagem', 'direito', 'caminho', 'opção', 'empresa']"
4,"['pagamento', 'nota', 'encomenda', 'cidade', 'data', 'solução', 'aparelho', 'dia', 'número', 'ligação']"
5,"['prazo', 'frete', 'empresa', 'status', 'dia', 'geladeira', 'entro', 'retorno', 'momento', 'data']"
6,"['reembolso', 'dia', 'atualização', 'favor', 'erro', 'lugar', 'número', 'cancelamento', 'cancelei', 'reembolsar']"
7,"['valor', 'opção', 'anuncio', 'cancelamento', 'datar', 'reembolso', 'feira', 'poder', 'vendedor', 'correios']"
8,"['tempo', 'atendimento', 'problema', 'poder', 'cliente', 'empresa', 'procon', 'calça', 'questão', 'filha']"
9,"['loja', 'cancelamento', 'serviço', 'cadastro', 'atendimento', 'número', 'estorno', 'tentativa', 'momento', 'mensagem']"
10,"['dinheiro', 'endereço', 'ponto', 'vendedor', 'valor_valor', 'erro', 'recebimento', 'causa', 'destinatário', 'prazo_prazo']"
11,"['compr', 'data', 'suporte', 'promoção', 'dia', 'empresa', 'poder', 'carro', 'tênis', 'loja']"
12,"['magalu', 'embalagem', 'devolução_dinheiro', 'dia', 'coisa', 'tela', 'acordo', 'urgência', 'vídeo', 'operadora']"
13,"['número', 'novembro', 'nome', 'livro', 'peça', 'resposta', 'notificação', 'vez', 'solução', 'responsabilidade']"
14,"['hora', 'opção', 'respeito', 'momento', 'informação', 'desconto', 'dia', 'empresa', 'loja', 'pessoa']"
15,"['cliente', 'jogo', 'caixa', 'atendimento', 'venda', 'full', 'horário', 'montagem', 'transporte', 'poder']"
16,"['correio', 'mercadoria', 'rastreamento', 'defeito', 'coleta', 'dia', 'sucesso', 'controle', 'roupa', 'jeito']"
17,"['cartão', 'reclamação', 'anúncio', 'documento', 'link', 'tipo', 'dia', 'descaso', 'gente', 'coisa']"
18,"['consigo', 'atraso', 'situação', 'mensagem', 'retorno', 'código', 'número', 'rastreio', 'empresa', 'email']"
19,"['empresa', 'solicitação', 'sistema', 'parte', 'período', 'preço', 'consumidor', 'dia', 'processamento', 'plataforma']"
