cluster,score
2,0.2767462825030314
3,0.21711401629764607
4,0.20095457739934247
5,0.1606125336663262
6,0.08542427148871609
7,0.06622254354176318
8,0.05287691012503424
9,0.051354860384543725
10,0.04315451067284093
11,0.03667356364595691
12,0.04381610433784864
13,0.03442424390749335
14,0.03995430240472378
