Tópicos,Words
0,"['loja', 'valor', 'dia', 'empresa', 'problema', 'prazo', 'cartão', 'dinheiro', 'atendimento', 'mensagem']"
1,"['valor', 'loja', 'cartão', 'dia', 'prazo', 'empresa', 'pagamento', 'fatura', 'magalu', 'devolução']"
2,"['loja', 'dia', 'valor', 'prazo', 'empresa', 'cartão', 'problema', 'dinheiro', 'mensagem', 'devolução']"
3,"['empresa', 'dia', 'valor', 'problema', 'prazo', 'atendimento', 'cliente', 'cartão', 'número', 'poder']"
4,"['cartão', 'valor', 'empresa', 'pagamento', 'fatura', 'dinheiro', 'dia', 'devolução', 'prazo', 'número']"
