score,topic,alpha,eta,min_count,filter
0.4125242372246474,12,0.8596593795804924,0.14133785922801936,2,0.7085053151376223
0.38737940893613354,10,0.9407001083826518,0.36503056125101757,15,0.7733517261937155
0.4103935586554931,10,0.9908798960927049,0.15152096772666743,11,0.8999110574382886
0.4019535017868066,12,0.5106491795231545,0.09484484824932973,4,0.7966227580210837
0.4119141440428425,13,0.8147622484205254,0.2759918116039933,5,0.8094572774574499
0.4095537001647183,8,0.411814543999337,0.17722426537088987,6,0.8845831701494853
0.3884200437490799,14,0.4376871767179882,0.17678169181801848,4,0.8376432918079916
0.4122346564889898,12,0.8438872763097297,0.17607357826190215,2,0.8494902387350627
0.3954313217862465,16,0.7914229716960278,0.043479977582260215,18,0.8470932222902989
0.3928614933570829,16,0.46412925368922253,0.047386571136802,9,0.7129527819202819
0.3821012451249625,10,0.020696824376752132,0.6654996382096562,14,0.9474434278837104
0.4074866205234731,12,0.7375894637829604,0.43768434630278225,2,0.7281303475353146
0.4074722725093323,14,0.6818083220624023,0.9491450960495768,8,0.7542061647319273
0.4144162358846751,11,0.917138006259159,0.28324515620141777,2,0.7101269673564126
0.40379374192782486,11,0.9693142971931379,0.30987896331296255,7,0.7023205163892682
0.41280447494475925,8,0.6607114157696206,0.5068907081225049,2,0.7466597356564184
0.40052921561117216,8,0.6757951397007436,0.5621843296049969,10,0.7501046535347686
0.40611800119724756,9,0.6578790644805168,0.539338260702334,20,0.7390958745276268
0.3956106219183031,9,0.594630477338085,0.4680411864402678,13,0.7732175367969759
0.4057774111172485,9,0.8882426595788548,0.641830501017201,5,0.7298495850556616
