Tópicos,Words
0,"['produto', 'entrar_contato', 'pedir', 'problema', 'compra', 'site', 'entregar', 'comprar', 'ainda', 'contar']"
1,"['entregar', 'pedir', 'compra', 'produto', 'fazer', 'informar', 'entrar_contato', 'empresa', 'comprar', 'site']"
2,"['produto', 'loja', 'entregar', 'falar', 'pedir', 'entrar_contato', 'dizer', 'compra', 'fazer', 'contato']"
3,"['produto', 'entregar', 'pedir', 'recebi', 'comprar', 'empresa', 'chegar', 'devolução', 'compra', 'informar']"
4,"['entregar', 'pedir', 'transportadora', 'receber', 'entrar_contato', 'fazer', 'empresa', 'site', 'compra', 'informar']"
5,"['produto', 'entregar', 'vendedor', 'compra', 'fazer', 'problema', 'pedir', 'cliente', 'informar', 'loja']"
6,"['produto', 'compra', 'loja', 'pedir', 'empresa', 'entregar', 'comprar', 'fazer', 'problema', 'site']"
7,"['produto', 'entrar_contato', 'loja', 'chegar', 'compra', 'pedir', 'comprar', 'dizer', 'cartão', 'ainda']"
8,"['produto', 'loja', 'fazer', 'empresa', 'compra', 'pedir', 'site', 'dizer', 'celular', 'comprar']"
9,"['pedir', 'produto', 'entregar', 'compra', 'transportadora', 'entrar_contato', 'empresa', 'cliente', 'problema', 'fazer']"
10,"['produto', 'entrar_contato', 'pedir', 'fazer', 'vendedor', 'dizer', 'devolução', 'loja', 'empresa', 'cliente']"
