Tópicos,Words
0,"['contar', 'querer', 'conta', 'email', 'tentar', 'compr', 'loja', 'problema', 'dado', 'falar']"
1,"['compr', 'receber', 'celular', 'recebi', 'empresa', 'hoje', 'loja', 'dizer', 'prazo', 'cancelar']"
2,"['encomenda', 'informar', 'endereço', 'dia', 'rastreio', 'correio', 'transportadora', 'dizer', 'ainda', 'falar']"
3,"['hoje', 'compr', 'anúncio', 'falar', 'promoção', 'cancelar', 'recebi', 'anunciar', 'ainda', 'loja']"
4,"['valor', 'problema', 'cobrança', 'cartão', 'mesmo', 'ficar', 'nunca', 'recebi', 'sempre', 'assinatura']"
5,"['agora', 'enviar', 'voltar', 'responder', 'valor', 'vendedor', 'correio', 'pedido', 'informação', 'retorno']"
6,"['compr', 'loja', 'resolver', 'cancelar', 'agora', 'ficar', 'recebi', 'hoje', 'geladeira', 'usar']"
7,"['agora', 'recebi', 'cartão', 'item', 'loja', 'valor', 'cliente', 'informação', 'vir', 'atraso']"
8,"['empresa', 'pagar', 'recebi', 'devolução', 'valor', 'compr', 'dizer', 'código', 'informar', 'número']"
9,"['transportadora', 'agora', 'empresa', 'loja', 'dia', 'entrega', 'querer', 'receber', 'recebi', 'cliente']"
