Tópicos,Words
0,"['falar', 'empresa', 'receber', 'cliente', 'querer', 'agora', 'atendente', 'dinheiro', 'contar', 'ficar']"
1,"['prazo', 'atendimento', 'dia', 'informar', 'loja', 'hoje', 'ainda', 'atraso', 'transportadora', 'entrega']"
2,"['loja', 'cancelar', 'informação', 'ainda', 'cancelamento', 'hoje', 'promoção', 'mesmo', 'cashback', 'informar']"
3,"['valor', 'cartão', 'pagar', 'reembolso', 'recebi', 'receber', 'constar', 'pagamento', 'crédito', 'cancelar']"
4,"['endereço', 'correio', 'agora', 'resolver', 'empresa', 'dizer', 'informação', 'tentar', 'pedido', 'poder']"
5,"['agora', 'transportadora', 'compr', 'recebi', 'dizer', 'querer', 'aplicativo', 'ainda', 'cancelamento', 'dia']"
6,"['cancelar', 'receber', 'empresa', 'problema', 'contar', 'compr', 'informar', 'agora', 'dizer', 'email']"
7,"['devolução', 'problema', 'vir', 'compr', 'peça', 'item', 'vendedor', 'apenas', 'empresa', 'poder']"
