Tópicos,Words
0,"['compra', 'contar', 'cartão', 'pois', 'realizar', 'valor', 'fazer', 'empresa', 'agora', 'conta']"
1,"['produto', 'pedir', 'entregar', 'site', 'compra', 'comprar', 'recebi', 'valor', 'receber', 'loja']"
2,"['produto', 'devolução', 'pedir', 'nota', 'compr', 'fiscal', 'vir', 'código', 'porém', 'garantia']"
3,"['compra', 'pedir', 'livro', 'pois', 'entregar', 'chegar', 'empresa', 'produto', 'compr', 'comprar']"
4,"['pedir', 'compra', 'cartão', 'comprar', 'fazer', 'cancelar', 'valor', 'loja', 'compr', 'pois']"
5,"['entregar', 'produto', 'contato', 'compra', 'entrar', 'pedir', 'fazer', 'nada', 'chegar', 'comprar']"
6,"['prime', 'valor', 'compra', 'assinatura', 'assinaturar', 'cobrar', 'porém', 'de', 'pedir', 'assinar']"
7,"['produto', 'pois', 'fazer', 'querer', 'empresa', 'pedir', 'dinheiro', 'devolver', 'valor', 'poder']"
