score,topics,alpha,eta
0.3741570868186221,20,0.222704247365013,0.270395693149046
0.3803647956608982,8,0.5265367317231436,0.5800474256877501
0.3479199093202217,36,0.5595814495460262,0.5298066865799509
0.3724414579361315,49,0.3621113030722897,0.6700356188111644
0.3711058267195297,41,0.93965263604115,0.3169145948604904
0.3495090032242814,16,0.7791123320257715,0.4673179452602502
0.3522336265585197,33,0.3804024524264536,0.3815062541169224
0.362358602429028,10,0.1999103177211515,0.139362431325085
0.3645383393930972,22,0.9172742637314192,0.2190817318455042
0.3510803776174448,26,0.6812011405417032,0.2515279171156102
0.359102432581969,35,0.0708190285177556,0.9562844992843644
0.3446790798537779,15,0.6652528875137245,0.7490893711643987
0.3786872922873792,4,0.6243602430172205,0.8023479631363186
0.3554719756491198,34,0.7285976965043822,0.7415687642580004
0.3219053061403671,14,0.5211408845017329,0.9090934966948522
0.3451606588744456,12,0.813744171498043,0.978329728137178
0.3618111174213417,15,0.4258713330422364,0.8676303741594724
0.3836649970966846,2,0.4737983784097389,0.0128843232759302
0.3433188222490153,20,0.6066865653084006,0.6595563173166096
0.3181503149816753,27,0.2559809997532029,0.6390424901436844
