Tópicos,Words
0,"['produto', 'loja', 'compra', 'prazo', 'contato', 'dinheiro', 'problema', 'momento', 'compr', 'informação']"
1,"['produto', 'compra', 'site', 'prazo', 'mensagem', 'empresa', 'problema', 'contato', 'número', 'atraso']"
2,"['compra', 'pagamento', 'produto', 'data', 'cartão', 'problema', 'empresa', 'loja', 'jogo', 'sistema']"
3,"['compra', 'valor', 'loja', 'contato', 'empresa', 'produto', 'compr', 'informação', 'pagamento', 'site']"
