cluster,score
2,0.22620063731378706
3,0.18476414659399296
4,0.15938041991169868
5,0.15132271771446426
6,0.14326694372436202
7,0.13423658599213692
8,0.013038119065163481
9,0.001842901168119972
10,0.018648909761683447
11,0.019698272881865875
12,0.05714079893268527
13,0.003363539971897981
14,0.010548472536450682
