Tópicos,Words
0,"['valor', 'compra', 'devolução', 'problema', 'loja', 'site', 'cliente', 'frete', 'dinheiro', 'contato']"
1,"['compra', 'loja', 'problema', 'prazo', 'mensagem', 'contato', 'empresa', 'compr', 'cancelamento', 'informação']"
2,"['compra', 'valor', 'loja', 'cartão', 'pagamento', 'contato', 'site', 'informação', 'cancelamento', 'estorno']"
3,"['empresa', 'compra', 'contato', 'prazo', 'loja', 'problema', 'momento', 'reclamação', 'nota', 'site']"
